id_derivacion_institucion,derivacion_institucion
1,911/ Equipo de Seguimiento
2,Área de Procedimiento
3,Área de Seguimiento del Programa Nacional de Rescate
4,Área Legal del Programa Nacional de Rescate
5,cenavid
6,Comando radioeléctrico 911
7,Comisarias
8,DDI de Mar del Plata
9,Delitos Informaticos
10,Desaparición de Personas
11,Equipo de coordinacion de allanamiento
12,Equipo de Seguimiento
13,Fiscalia Antidrogas N 1
14,Fiscalia Federal N 1 de Mar del Plata a cargo de la Dra. Mazaferri
15,Fiscalia Federal N 2 a cargo del Dr. Giffi
16,Fiscalía Federal N 2 de Mar del Plata
17,Gendarmeria Nacional Argentina
18,Interprograma
19,Juzgado / Fiscalia
20,linea 137
21,Linea 144
22,Min. Seguridad - Personas Extraviadas
23,Ministerio de Seguridad
24,Oficina de monitoreo
25,Personas Extraviadas
26,Policia de la Provincia de Santa Cruz
27,Policia Federal Argentina
28,Prefectura Naval Argentina
29,Programa Las Víctimas contra las Violencias
30,Protex
31,revisar PNR
32,seguimiento
33,seguimiento PNR
34,Senac Rio Negro por
35,Sin dato
